提交哈希 | 作者 | 提交时间 | 提交说明
====================================================================================================
54e1365406a02c2815120452d3281a187b88c68c|sm11 <sm11@qq.com>|2026-09-06 07:07|V7.18:上线冲刺+产品力深化+运营看板+工程提级—演示核验通道/合同续签/多档提醒/模板热门/合同归档/运营看板+pytest单测+schema守卫+日志落盘
471e5fd3b50457df4f79bbde6cbf0a68d3effe77|sm11 <sm11@qq.com>|2026-09-06 02:22|V7.16:跨端大批次(4-9)—小程序对齐+企业协作+AI文档智能+增长运营+信任基建+上线就绪
0eea6dd8a9b954741209513ecee3977efd00eec5|sm11 <sm11@qq.com>|2026-09-05 01:18|V7.15:网页端补齐个人中心与签署闭环—实名/企业认证/安全/签名/通知/名片+邀请签署+拒签+create增强(附件/抄送/截止/顺序/复制再发起)
f6782e14d9b478722a8d1e77d698849efdccce64|sm11 <sm11@qq.com>|2026-09-05 00:18|V7.14:网页版版式对齐腾讯电子签(保留墨蓝金品牌)—浅顶栏+落地页产品窗口+页脚
83e609324271233383acaaf50fba5f256db637e3|sm11 <sm11@qq.com>|2026-09-04 22:59|V7.13:验签放开登录+模板库公开目录+客服入口(含后台反馈箱)+移动端适配补漏
484c6a7327c9161bbb28cc4b5e8518d0451c88cd|sm11 <sm11@qq.com>|2026-09-04 22:37|V7.12:PC 端《用户服务协议》/《隐私政策》页(落地页/登录页入口)
08bb002d14fb2ab194324a8fbb21ccbe873fe502|sm11 <sm11@qq.com>|2026-09-04 07:54|V7.11:网页端套餐购买(确认弹层→下单→mock入账)、样式化确认框、越权友好页
f2b9a083c81ca85b932d85787fd71330b4c58501|sm11 <sm11@qq.com>|2026-09-04 06:56|V7.10:后台订单财务统计+CSV导出+操作留痕,网页端「我的签名」可复用
1596b51ebfb89b8cf079c3aa7880ff63319e42cb|sm11 <sm11@qq.com>|2026-09-04 06:49|V7.9:PC 在线签署(完整产品)+ 运营后台四模块 + 帮帮鸭品牌视觉
2100875479df2dc4bdad96e7a3a89837d8497ff7|sm11 <sm11@qq.com>|2026-09-03 22:47|V7.8:签署意愿确认(勾选声明+短信验证码/签署密码)+每单存证文件,法律效力增强
b8acf43291c5c9a1b746c189e4c65839ccc95b24|sm11 <sm11@qq.com>|2026-09-02 04:13|清理:彻底移除 Windows 版权字体与参考品截图残留
c737442bd69d0212e3b16ce700ab0758dda21cae|sm11 <sm11@qq.com>|2026-09-02 03:56|V7.6+V7.7:外部资源管线补齐(支付/客服/企业核验)+ 部署脚手架 + 字体合规 + CI
d1ceb415f609e11d9e352993b8bf5d2eca1884c3|sm11 <sm11@qq.com>|2026-08-31 05:15|V7.5:外部资源管线预建——核验/时间戳/短信 配置驱动接入
4c007e829e31bec6102c699891a0acd8b4bd62e2|sm11 <sm11@qq.com>|2026-08-31 04:04|V7.4:模板热度/复制再发起/数据导出/AI起草管线/列表N+1优化
257b2c789b72f1536150def12853089ca047bbb2|sm11 <sm11@qq.com>|2026-08-31 03:12|V7.5:上线前检查报告 RELEASE_CHECK.md(自动化验证+平台侧待办+外部资源决策)
45edf940fcbd63107efea0fb60983c65cf8d65ed|sm11 <sm11@qq.com>|2026-08-31 03:11|V7.4:上线前检查整改——版权字体移出版本库
cdfdd45854cae8377f4544f248488cc618a86877|sm11 <sm11@qq.com>|2026-08-31 03:03|V7.3:姓名生成签名——服务端书法字体渲染(正楷/行书)
9fd037bc22f41ffd2108402a051eff5ee68341c5|sm11 <sm11@qq.com>|2026-08-31 02:43|V7.2:对标腾讯电子签——联系人簿/模板库扩容20+/图片发起/个人名片/指南页
08230ffea3d56ca636d2211e4d8bdf4f32b35af2|sm11 <sm11@qq.com>|2026-08-31 02:12|V7.1:首页快捷宫格去冗余——移除与状态tab重复的4个筛选入口,保留4个动作入口(发起/文件/签名/套餐)
301a083157632752e82adc0fdae716b015c8bab5|sm11 <sm11@qq.com>|2026-08-31 02:04|V7 收尾:DESIGN.md/README 更新(四包升级记录、常用命令、ID_ENC_KEY)
