提交哈希 | 作者 | 提交时间 | 提交说明
====================================================================================================
93d7d14b52d600cafefb186fc98706f90b120d48|sm11 <sm11@qq.com>|2026-08-25 18:57|功能：ACCESS_ALL_FREE 全部免费开关——关闭「5 天试用到期 → 缴押金解锁」收费墙
00acdb593f7992f740ccb07034fad4ebbdd60695|sm11 <sm11@qq.com>|2026-08-24 19:54|文档：补项目 README，修正 DEPLOY.md 测试数与 DEV_IMPERSONATE 安全项
26a3179a087cc895732ebcf0c563ea615e5889d7|sm11 <sm11@qq.com>|2026-08-24 19:52|收尾：测试用临时库、后台 token 持久化、清理内部配置与文档
a0fd746731fe404e32db4b8710668692e0b258f0|sm11 <sm11@qq.com>|2026-08-18 18:17|P1/P2/P4: 学习路径数据库驱动 + 后台用户权限/试用管理 + 测试加量
1663db6fbaba51706d9dd9365adc0397edaa1532|sm11 <sm11@qq.com>|2026-08-18 13:23|P1: 数据源统一——videos/projects 改数据库驱动，后台管理即时前端生效
ba3c43ec524ee13eddb47559234d8c77ceface03|sm11 <sm11@qq.com>|2026-08-18 12:53|P1 修复：后台作业复核/退费复核页加载失败——URL 双重 /api/admin 前缀
5518201a644771a7a3b266d6f20a693714804eb4|sm11 <sm11@qq.com>|2026-08-18 12:45|P0: AI 每日额度限制——未缴押金用户限流，杜绝 AI 滥用
aa4feb021e2eb67179124c68df0f6e8fcf73b934|sm11 <sm11@qq.com>|2026-08-18 12:15|文档：技术不足之处与待办清单（现状梳理与规划）
ffdac0ccdbbc74319e901f65cabf7b9aa633ffc2|sm11 <sm11@qq.com>|2026-08-18 08:02|部署文档：同步当前质量门禁命令、测试数，补上线安全要点
52df7299db1193a926a7cccf3ce48e7bc23b910b|sm11 <sm11@qq.com>|2026-08-18 08:00|前端测试：为 useAccessStore 状态机补 11 项单测
782806b69929dbb30e642f22033cf3e7c8e715fd|sm11 <sm11@qq.com>|2026-08-18 07:53|支付层加固：生产未配商户号拒绝报名，杜绝免费解锁付费墙
55697e8b2508b8ebbd7cb73a3bc09ebe98838c24|sm11 <sm11@qq.com>|2026-08-18 07:45|前端质量：清理全部 react-hooks/exhaustive-deps warning，lint 归零
59042070f6dc0330b133cd8b22d44afad6268651|sm11 <sm11@qq.com>|2026-08-18 07:30|前端质量基建：CI 加 tsc + ESLint + Vitest 单测
3d04e83f0849d53f5e45c039e4d3d107d7c98dc1|sm11 <sm11@qq.com>|2026-08-18 06:36|修复：学习路径推荐方向按用户读取，不再盗用全局能力报告
c113abaa692765aec16994098ef746c6b2cff267|sm11 <sm11@qq.com>|2026-08-18 06:30|修复：未登录的匿名测评不再被当成登录账号的能力报告
15df4fe12641bfc9ba1a4e8af3cd7411f45b2228|sm11 <sm11@qq.com>|2026-08-18 06:10|修复：首页弹窗卡片超高被裁、按钮顶出遮罩外——ScrollView 外渲染 + 卡片高度改用百分比
fefc05ea4a2fbc4b92691bde609c5467ea1cf68c|sm11 <sm11@qq.com>|2026-08-17 20:26|修复：微信端首页弹窗被页面层盖住——AccessGate 从 App 组件移到首页渲染
035adcdfca65f4fdc8a5c5fa82a432f27f3178ec|sm11 <sm11@qq.com>|2026-08-17 20:04|修复：首页导语弹窗微信端不出现——useEffect 改 useLaunch（App.onLaunch 必触发）
12194a95fe349a605fbdde0517e14d764287f7b9|sm11 <sm11@qq.com>|2026-08-17 19:57|修复：access status 冷启动拉取必 401 噪音——init 只拉公开 intro，状态交登录后 refresh
9a70cfce9fe34e3cdb9d4004f7777e4075d5cf15|sm11 <sm11@qq.com>|2026-08-17 19:49|修复：微信临时头像未上传导致首页头像不同步 + 弹窗冷启动即显
f2f79023eac719aa12fc6a4b8ae44c5794a9ed78|sm11 <sm11@qq.com>|2026-08-17 19:24|加固：登录/资料接口返回的头像统一归一化为完整 URL
25da6e31bff9dc3b227ca63fa6ba6c249b6627a1|sm11 <sm11@qq.com>|2026-08-17 19:10|封面图去外部化：picsum.photos → 后端本地 /static/covers 占位图
1572b1f133fc5d41008f030c68dbde28a58f3298|sm11 <sm11@qq.com>|2026-08-17 18:45|修复小程序图片 500：移除首页硬编码 picsum 占位头像
c537f1fa355772068bbefe1a6bb5853812324735|sm11 <sm11@qq.com>|2026-08-17 18:35|修复小程序白屏：App 单根渲染 + App 层不用 ScrollView
af5b53ec5da90fbc78cdbce8db798b76c0dc6fc8|sm11 <sm11@qq.com>|2026-08-17 18:23|修复：视频完成按用户隔离 + 微信端导语弹窗延迟
d3e3b45286f7f8ad4199554a12389dbbb8446d03|sm11 <sm11@qq.com>|2026-08-17 09:40|功能使用权限控制：5 天免费试用 → 缴纳押金解锁
8d868b6c7ab10d0aab5c808c99b4d8b5d1ba6099|sm11 <sm11@qq.com>|2026-08-15 09:02|技术债清理：进度统一 DB、AI 模型预热、只读缓存、刷新优化、web-view 兜底
1db1925ecdb6ec8f6da980bbeab497c721e52bf8|sm11 <sm11@qq.com>|2026-08-15 08:27|清理死代码 + 修复课程列表 limit 截断（漏 4 门课）
64053fb0355509afc21d1b959aa275746f9ec90e|sm11 <sm11@qq.com>|2026-08-15 07:42|Tab 页切回自动刷新：学习/项目页补 useDidShow 重新拉数据
5dd20098156b7ac007bea744d87ed01b42d666d1|sm11 <sm11@qq.com>|2026-08-15 07:33|视频全部改为跳转 B 站：文档类课程改用 B 站教学视频
c97acd6776c9b8c12779b965a16416ac546b6a68|sm11 <sm11@qq.com>|2026-08-15 07:18|修复学习页/项目页排序、视频页文档资源加载、项目步骤缺失
0adb8e96c929c5c613be7ba905e5ca66d99918aa|sm11 <sm11@qq.com>|2026-08-14 09:02|修复 CI 全新环境自举：seed_from_json 回退补回 seed_data 基础数据
3a7f7655fc4109e65d88ae2591c54d3732ffd883|sm11 <sm11@qq.com>|2026-08-14 08:46|课程小节系统性扩充：250 个小节补齐理论讲解与实战案例
08c68caa771ce1b677a4c6c167f62919f9e62795|sm11 <sm11@qq.com>|2026-08-14 07:57|课程体系重构：按 2026 AI Agent 学习路线重建 24 门课 + 24 条视频；押金框架 5→7 阶段
c0dab5d603edc61a71cd1d11cef9bbf2ab9210d6|sm11 <sm11@qq.com>|2026-08-14 06:16|课程丰富 v2：加深 13 门课 + 新增 5 门实战课；学习路径解锁改按章节计
88b2c35379e1fc1e20fdfc16c4b09a0c39fa4a70|sm11 <sm11@qq.com>|2026-08-14 04:55|修复种子自举：python -m database 在数据缺失时自动生成（含占位视频库），解决全新环境/CI/部署无数据
45b5ffae412e5a337e386a44a663b0e5d0cf713a|sm11 <sm11@qq.com>|2026-08-14 04:42|修复 CI：补 python-multipart（头像上传接口依赖，CI 空环境缺它导致测试收集失败）
ac803031a9f7b8f9685f45663a8ad18f1ec2a4e9|sm11 <sm11@qq.com>|2026-08-14 04:37|修复 CI：pymysql 版本改为 >=1.1.0（2.2.8 不在 PyPI）；前端 npm ci 加 --legacy-peer-deps 绕过 Taro/webpack 冲突
9bb26a76ca75104c805b01b7419d585b25775a4a|sm11 <sm11@qq.com>|2026-08-14 04:37|移除内部规划/业务文档：上线计划/策划书/汇报稿/测试文档/技术架构/迭代计划等 11 个 md（保留 DEPLOY.md）
f2c71ec00224635c63cfce51df6cd35d29038f8a|sm11 <sm11@qq.com>|2026-08-13 08:59|.env.example 补齐 DB_ENGINE/DeepSeek/微信支付/订阅模板变量
0ad760958eca5eb900aef8cc9b7f46111b5c6784|sm11 <sm11@qq.com>|2026-08-13 08:56|更新文档：数据库双引擎与 CI 说明、差距清单标记完成
a56c0d310d25690e352553a68ab31cdca3a93496|sm11 <sm11@qq.com>|2026-08-13 08:54|数据库方言层（SQLite+MySQL 双引擎）+ CI：DB_ENGINE 切换，方言运行时翻译，GitHub Actions 三 job
f91f62faa99678291f7aacbc4a23e79b69353f9d|sm11 <sm11@qq.com>|2026-08-13 04:03|更新差距清单：标记本次冲刺已完成项，剩余为用户侧审批/购买
59a1bcae142c6653e0943e0487fa0dd0c86f398f|sm11 <sm11@qq.com>|2026-08-13 04:02|新增上线操作清单：用户侧审批/购买事项逐项（域名/备案/认证/商户号/订阅模板/HTTPS/提审）
68845c5be9aa753c4fe550dd49cc2c4f02ab2887|sm11 <sm11@qq.com>|2026-08-13 03:58|部署配置化：JWT_SECRET 生产 fail-fast/DEV_IMPERSONATE 强制关/CORS env；前端 API_BASE 构建注入；部署文档清单
bb5bb9841c1c82279d3d4a7188f9ede718b16a6c|sm11 <sm11@qq.com>|2026-08-13 03:52|真实微信支付 V3：JSAPI 下单/回调验签解密/退款，押金报名走真实支付（未配商户号保留占位）
56f652c73a2bcac642b4d11791f7910f846e0a6b|sm11 <sm11@qq.com>|2026-08-13 03:31|防刷机制：退费改申请态+后台人工复核队列（放行/驳回），押金页展示审核中状态
f92a1582990a11644ea9af6c5bd97b8a4cbe5e9b|sm11 <sm11@qq.com>|2026-08-13 03:23|微信订阅消息推送：access_token 缓存 + 打卡/作业评审触发，模板未配置静默跳过
150665917172927f334aa3b6bb5e4f88a1f1bb28|sm11 <sm11@qq.com>|2026-08-13 03:17|微信一键分享作业：作业通过页+作品集加 openType=share 分享成果（题目+AI评分）
afd52f2368be480c399a812647a6d91d3ba9827b|sm11 <sm11@qq.com>|2026-08-13 03:11|AI 成本分层（双供应商并存）：新增 DeepSeek 档位 + model_router 按场景选档
251b5e8b9b731a90f78d36e90ef927e8c9dfa3aa|sm11 <sm11@qq.com>|2026-08-13 03:02|作业提交/评审完整闭环：题库+提交+AI评审+后台复核，过程锁按每阶段作业真实判定
26ea798d858415e3e231df18f4c4fca4aeb858fd|sm11 <sm11@qq.com>|2026-08-13 02:40|课程体系扩到 13 门：按报告 4.3 补 8 门场景课（边界风险/写作/绘图办公/四段式提示词/长文本/周报/活动策划/PPT）
2b9c3b090f93741881522d78ed4eaacf6185a7c2|sm11 <sm11@qq.com>|2026-08-13 00:35|五阶段课程改按章节计进度/完课率：修复课程与遗留视频库失联
ee4dbcfb321ce1e6c0261011bb1537b8d79c0d48|sm11 <sm11@qq.com>|2026-08-12 08:54|学员资料落库后端：年级/专业/目标方向持久化 + 后台可见
f8eb9d75e91d97755b5cde7a8919d82fd4bcc45a|sm11 <sm11@qq.com>|2026-08-12 08:44|设置页重做：资料客户自选（无默认值）+ 切换账号 + 开发期模拟切换用户
b70a74a70eeeec1dd192aaa866f3ce4d7e5ce6c0|sm11 <sm11@qq.com>|2026-08-12 08:25|修复分享按钮无效回调 + 头像临时路径改为持久上传
a66190fafbb9fb066f660c8bc7acc2d32e77c640|sm11 <sm11@qq.com>|2026-08-12 08:19|个人中心登录改造：正规微信登录 + 头像昵称填写能力 + 退出彻底清缓存
8097973fdfecbeb71ae1413484fabcac7f528a4c|sm11 <sm11@qq.com>|2026-08-12 08:01|新增微信开发者工具操作清单：登录联调 + 组队/分享解锁端上实测步骤
abd744292f035b1381746fe57a09829aff7e1898|sm11 <sm11@qq.com>|2026-08-12 02:36|零基础五阶段课程体系 + 真实微信登录 + 后台运营端中文化
4a8f45ae7eb851e3ec84449c16a57927d6c25b1a|sm11 <sm11@qq.com>|2026-08-12 02:35|分享解锁 + 组队学习：后端接口 + 前端接线（社区组队 tab / 课程分享解锁）
b2af55f8505069ecaf42577971e30932e40abecd|sm11 <sm11@qq.com>|2026-08-11 03:34|补齐学习工具与后台运营端：模板库/实操台/成长曲线/看板
aa3c595836b5ba2644c6c5e17838a4bb02cfa6ad|sm11 <sm11@qq.com>|2026-08-11 03:00|平台化功能落地：每日打卡/学习排行榜/学习社区 + 多项修复
d89a7d124ae6c27a40c36527ebcc1312e1a918ea|sm11 <sm11@qq.com>|2026-08-11 01:20|feat: 全功能模块落地 + 部署配置（押金式培训版）
98d6e8ddfb62e43daaeaf98f938ccd952d1a5be1|sm11 <sm11@qq.com>|2026-08-11 00:18|feat: 押金式培训核心 — 微信登录鉴权与多用户数据隔离
e984256ea0c2071d22901f42ae6904ee30b0a9c5|sm11 <sm11@qq.com>|2026-08-08 08:53|岗位对标匹配度合理化：掌握阈值提高到60分，反映真实能力水平
0e342f3d33b90a4146f4b93af31056920e6340b5|sm11 <sm11@qq.com>|2026-08-08 08:45|岗位对标改进：去硬编码 + AI结合能力报告 + 结果差异化
6462ac81bdce0c322c0ee8871d91c92b31828d8b|sm11 <sm11@qq.com>|2026-08-08 08:19|移除学习记录菜单与页面
08963acec3d1f5de7c2e69d6b4ae2ce7b9f15dfa|sm11 <sm11@qq.com>|2026-08-08 08:11|完善我的页6个功能：岗位对标AI分析+作品集+学习记录+目标+收藏+设置
bba6b3d6796977215ad03c7381c0e2f0ba6d8cb1|sm11 <sm11@qq.com>|2026-08-08 07:41|首页/学习页 UI 修复：课程卡片布局+移除误导进度条+删除路径卡周次
308bf5552ea8b926c4e5a11f88095169ac30bb61|sm11 <sm11@qq.com>|2026-08-08 06:57|简化我的页与学习路径页头部 + 修复五维图小程序尺寸
a46f290b50406d21fcaa11ed66b0c1ebce2bbaec|sm11 <sm11@qq.com>|2026-08-08 06:15|小程序 header 渐变兜底强制生效：!important 纯色 + 隐藏渐变层
3281a51a1397a410a5976df343d3d197ee110a75|sm11 <sm11@qq.com>|2026-08-08 05:59|修复小程序 Canvas 尺寸冲突：统一 500rpx
359d4f1ae2dffdca8694d77edb03f95cbd0f07a9|sm11 <sm11@qq.com>|2026-08-08 05:54|修复小程序端：五维图用 createCanvasContext + header 渐变加纯色兜底
6bc70e8d6a321f6e1d225bf905da7e68c3e20e6d|sm11 <sm11@qq.com>|2026-08-08 05:39|RadarChart 跨端支持：H5 用 SVG，小程序用 Canvas 2d
675caabfa46e59c46dc2d33e1488513c8193185d|sm11 <sm11@qq.com>|2026-08-08 05:26|我的页修复：雷达图尺寸 + 真实学习记录 + 动态刷新
118e9c99ce263a5eb454f155e42b688315e675a4|sm11 <sm11@qq.com>|2026-08-08 05:03|完成项目统计纳入项目页完成 + 清理旧字段
8c4df01682e279666f79e22d20bc58baccf54d85|sm11 <sm11@qq.com>|2026-08-08 04:43|首页学习路径进度同步刷新
cd5a282b882534609123ae3df94861b11af75041|sm11 <sm11@qq.com>|2026-08-08 04:30|H5 与小程序输出目录分离，避免互相覆盖清空
05e80389fc69cad9f6a7007039c1f8bd4f34f315|sm11 <sm11@qq.com>|2026-08-08 04:18|标记完成需至少停留1分钟
9e767d037538f83d3e2183dc7a3bdaec5169a32e|sm11 <sm11@qq.com>|2026-08-08 04:04|学习时长改为分钟显示
259834b6e98499b7a493b6e3c1b5e7c823ca6db8|sm11 <sm11@qq.com>|2026-08-08 03:43|学习时长按实际观看分钟统计
f7cb5bd1c053f1afa7a4b8bac6aa0a3603df36ce|sm11 <sm11@qq.com>|2026-08-08 03:09|合集视频适配：H5播放器URL转换 + 完整版标注
